minute,radiant_gold_adv,radiant_xp_adv,match_id
31,711,-2264,4072509593
32,2030,-416,4072509593
33,2053,-2689,4072509593
34,779,-5768,4072509593
35,1300,-5406,4072509593
36,1480,-4758,4072509593
37,1109,-6310,4072509593
38,-966,-11073,4072509593
39,-1864,-12539,4072509593
40,-2288,-12861,4072509593
41,-1054,-8355,4072509593
42,-2749,-10269,4072509593
43,-3135,-6970,4072509593
44,-3096,-7172,4072509593
45,-4321,-9479,4072509593
46,-6702,-9971,4072509593
47,-9170,-11795,4072509593
48,-9726,-11713,4072509593
49,-10520,-12027,4072509593
50,-7462,-5324,4072509593
51,-2280,-334,4072509593
52,-6076,-1484,4072509593
53,-6836,913,4072509593
54,-6938,1184,4072509593
55,-8221,106,4072509593
56,-9972,-73,4072509593
57,-15304,-181,4072509593
58,-16881,124,4072509593
59,-18864,-4379,4072509593
1,0,0,4072586507
2,612,239,4072586507
3,775,387,4072586507
4,1444,703,4072586507
5,1788,1042,4072586507
6,1230,857,4072586507
7,1118,1515,4072586507
8,1168,1358,4072586507
9,1269,1387,4072586507
10,1472,1799,4072586507
11,960,1285,4072586507
12,2421,1556,4072586507
13,3928,3386,4072586507
14,4004,3722,4072586507
15,3352,2881,4072586507
16,3742,2063,4072586507
17,3450,2454,4072586507
18,3094,3651,4072586507
19,3345,2525,4072586507
20,4282,3942,4072586507
21,4553,4446,4072586507
22,4671,4911,4072586507
23,5449,5839,4072586507
24,6078,7697,4072586507
25,6150,7035,4072586507
26,5909,6250,4072586507
27,5518,7750,4072586507
28,5521,8513,4072586507
29,5409,8666,4072586507
30,5482,9215,4072586507
31,4964,9123,4072586507
32,6584,9505,4072586507
33,7616,13533,4072586507
34,10750,20861,4072586507
35,11232,23583,4072586507
36,14723,23840,4072586507
37,14310,24175,4072586507
38,15713,28556,4072586507
39,21433,31511,4072586507
1,-326,-55,4072635180
2,-758,-226,4072635180
3,-644,234,4072635180
4,-259,898,4072635180
5,-50,1339,4072635180
6,365,1923,4072635180
7,-18,2162,4072635180
8,515,2786,4072635180
9,370,2988,4072635180
10,569,3208,4072635180
11,673,3487,4072635180
12,1022,4475,4072635180
13,1490,4932,4072635180
14,1511,5667,4072635180
15,1116,4400,4072635180
16,374,2103,4072635180
17,-475,2057,4072635180
18,-1203,1705,4072635180
19,-2112,-73,4072635180
20,-2650,-495,4072635180
21,-3441,-1071,4072635180
22,-6796,-2484,4072635180
23,-7969,-4658,4072635180
24,-9645,-5633,4072635180
25,-8802,-2730,4072635180
26,-8060,-817,4072635180
27,-10892,-1210,4072635180
28,-12168,-5279,4072635180
29,-12070,-4024,4072635180
30,-11902,-5520,4072635180
31,-12502,-5311,4072635180
32,-14657,-7232,4072635180
33,-16619,-10847,4072635180
34,-17555,-11006,4072635180
35,-17815,-10304,4072635180
36,-18072,-9434,4072635180
37,-21087,-9659,4072635180
38,-26802,-18199,4072635180
39,-29471,-18269,4072635180
1,0,0,4072699199
2,51,-12,4072699199
3,-53,3,4072699199
4,180,3,4072699199
5,-18,-193,4072699199
6,-482,-372,4072699199
7,147,-295,4072699199
8,-488,-1064,4072699199
9,-442,-670,4072699199
10,-1221,-1023,4072699199
11,-954,-595,4072699199
12,-593,185,4072699199
13,32,185,4072699199
14,113,208,4072699199
15,192,571,4072699199
16,678,1524,4072699199
17,1448,1939,4072699199
18,807,125,4072699199
19,-785,422,4072699199
20,-19,551,4072699199
21,-1109,-285,4072699199
22,-1000,842,4072699199
23,-738,527,4072699199
24,-865,800,4072699199
25,563,2246,4072699199
26,1765,4107,4072699199
27,1694,4183,4072699199
28,1277,3293,4072699199
29,3101,5812,4072699199
30,2528,4375,4072699199
31,5815,12143,4072699199
32,9715,14885,4072699199
33,11017,16599,4072699199
34,10281,15865,4072699199
35,9594,13230,4072699199
36,11764,16232,4072699199
37,14920,17119,4072699199
38,13148,11802,4072699199
39,10882,9031,4072699199
40,10578,9143,4072699199
41,10031,7185,4072699199
42,9469,7739,4072699199
43,9096,6704,4072699199
44,10354,11306,4072699199
45,11010,11908,4072699199
