end,last_death,match_id,start
2119,2104,4078079157,2075
2820,2805,4078079157,2786
363,348,3967446758,315
690,675,3967446758,648
763,748,3967446758,712
889,874,3967446758,853
1007,992,3967446758,974
1199,1184,3967446758,1155
1535,1520,3967446758,1490
1730,1715,3967446758,1697
646,631,4072252473,595
1180,1165,4072252473,1127
1697,1682,4072252473,1638
2481,2466,4072252473,2429
2617,2602,4072252473,2579
680,665,4066666471,643
960,945,4066666471,905
1656,1641,4066666471,1615
1845,1830,4066666471,1800
2054,2039,4066666471,2017
2176,2161,4066666471,2127
2396,2381,4066666471,2334
1023,1008,4064996401,987
1376,1361,4064996401,1329
1567,1552,4064996401,1517
2147,2132,4064996401,2095
2281,2266,4064996401,2226
2948,2933,4064996401,2903
3370,3355,4064996401,3310
3713,3698,4064996401,3664
1512,1497,3965388783,1477
1723,1708,3965388783,1679
1928,1913,3965388783,1890
2638,2623,3965388783,2594
2776,2761,3965388783,2737
3173,3158,3965388783,3127
1083,1068,3970514314,1038
1606,1591,3970514314,1558
1741,1726,3970514314,1696
1925,1910,3970514314,1887
2207,2192,3970514314,2146
2350,2335,3970514314,2310
806,791,3970279887,770
971,956,3970279887,936
1020,1005,3970279887,972
1425,1410,3970279887,1382
1957,1942,3970279887,1906
2009,1994,3970279887,1965
2198,2183,3970279887,2151
2710,2695,3970279887,2656
2945,2930,3970279887,2910
3614,3599,3970279887,3573
3892,3877,3970279887,3842
4146,4131,3970279887,4086
789,774,3970112306,734
911,896,3970112306,869
1543,1528,3970112306,1506
1801,1786,3970112306,1762
2156,2141,3970112306,2108
2311,2296,3970112306,2269
2601,2586,3970112306,2561
3259,3244,3970112306,3214
169,154,4061924528,123
458,443,4061924528,410
649,634,4061924528,612
1130,1115,4061924528,1074
1479,1464,4061924528,1417
1993,1978,4061924528,1938
2089,2074,4061924528,2050
2227,2212,4061924528,2182
2362,2347,4061924528,2310
2482,2467,4061924528,2445
2517,2502,4061924528,2470
2720,2705,4061924528,2675
228,213,3968380074,191
505,490,3968380074,457
856,841,3968380074,805
895,880,3968380074,841
1109,1094,3968380074,1062
1259,1244,3968380074,1204
1423,1408,3968380074,1385
1587,1572,3968380074,1539
1684,1669,3968380074,1620
1807,1792,3968380074,1753
585,570,4064851344,549
860,845,4064851344,818
1432,1417,4064851344,1392
1707,1692,4064851344,1669
2177,2162,4064851344,2140
2683,2668,4064851344,2625
3029,3014,4064851344,2986
3201,3186,4064851344,3155
731,716,3964347005,686
873,858,3964347005,836
1726,1711,3964347005,1674
1896,1881,3964347005,1853
